NUM     DATE      ADV      DEC    UNCHG   ADVVOL       DECVOL
00424 940201  961.000 1148.000  642.000 13679.000      14404        0
00425 940202 1279.000  851.000  620.000 18238.000      10987        0
00426 940203  918.000 1190.000  651.000 14226.000      13779        0
00427 940204  316.000 2037.000  401.000 2155.000      33734        0
00428 940207 1044.000 1178.000  527.000 17325.000      13128        0
00429 940208 1172.000  962.000  605.000 13900.000      13004        0
00430 940209 1289.000  850.000  600.000 18526.000      11654        0
00431 940210  811.000 1311.000  618.000 9285.000      19346        0
00432 940211  801.000 1214.000  675.000 8549.000      10328        0
00433 940214 1134.000 1029.000  602.000 11651.000      11299        0
00434 940215 1198.000  882.000  681.000 17490.000       8692        0
00435 940216 1183.000  965.000  621.000 13159.000      12868        0
00436 940217  882.000 1251.000  639.000 12215.000      18262        0
00437 940218  706.000 1411.000  635.000 7908.000      17139        0
00438 940222 1139.000 1003.000  626.000 15998.000       8036        0
00439 940223  948.000 1177.000  646.000 14371.000      12812        0
00440 940224  442.000 1795.000  546.000 6196.000      25474        0
00441 940225 1169.000  963.000  628.000 14647.000       9071        0
00442 940228 1457.000  727.000  575.000 15256.000       8419        0
00443 940301  716.000 1449.000  610.000 7574.000      18660        0
00444 940302  788.000 1404.000  579.000 14888.000      17196        0
00445 940303  950.000 1190.000  614.000 11831.000      13028        0
00446 940304 1279.000  829.000  653.000 17797.000       8982        0
00447 940307 1443.000  762.000  573.000 16439.000       8555        0
00448 940308  944.000 1174.000  658.000 11381.000      15010        0
00449 940309 1017.000 1105.000  648.000 15180.000      12724        0
00450 940310  688.000 1486.000  613.000 12530.000      17739        0
00451 940311 1137.000  962.000  672.000 17597.000       9627        0
00452 940314 1159.000  949.000  697.000 13385.000       8498        0
00453 940315 1100.000 1012.000  684.000 14258.000      12098        0
00454 940316 1346.000  803.000  633.000 19756.000       7370        0
00455 940317 1149.000 1015.000  613.000 16441.000      10673        0
00456 940318 1071.000 1091.000  624.000 19231.000      20317        0
00457 940321  627.000 1580.000  577.000 6786.000      14687        0
00458 940322 1189.000  925.000  657.000 14733.000       9921        0
00459 940323 1159.000  945.000  658.000 13255.000      11185        0
00460 940324  520.000 1739.000  526.000 6952.000      20659        0
00461 940325  860.000 1198.000  685.000 7959.000      14018        0
00462 940328  652.000 1567.000  576.000 8260.000      18042        0
00463 940329  280.000 2034.000  473.000 1804.000      26065        0
00464 940330  357.000 2041.000  405.000 6194.000      30406        0
00465 940331  752.000 1532.000  526.000 15053.000      20451        0
00466 940404  376.000 2121.000  321.000 4558.000      27922        0
00467 940405 2152.000  315.000  353.000 32585.000       2614        0
00468 940406 1268.000  956.000  587.000 14947.000      12261        0
00469 940407 1370.000  761.000  651.000 17122.000       8230        0
00470 940408  800.000 1406.000  600.000 7487.000      15672        0
00471 940411 1165.000 1015.000  607.000 12898.000       8113        0
00472 940412  872.000 1258.000  653.000 8093.000      14000        0
00473 940413  696.000 1505.000  598.000 7742.000      17212        0
00474 940414  932.000 1224.000  640.000 13060.000      11835        0
00475 940415 1029.000 1108.000  638.000 14021.000      12991        0
00476 940418  631.000 1645.000  524.000 7449.000      17598        0
